id;author;original_title;language;address;placement_year;details;dutch_title;address_detail
1;Marina Ivanovna Tsvetajeva;Моим стихам;Russisch;Nieuwsteeg 1;1992;geen;(Aan mijn verzen);(hoek Kloksteeg)
2;William Shakespeare;Sonnet XXX;Engels;Rapenburg 30;1992;geen;(hoek Houtstraat);EMPTY
3;Aleksandr Blok;Ночь, улица, фонарь, аптека;Russisch;Thorbeckestraat 52;1993;geen;(Nacht);(hoek Roodenburgerstraat)
4;Jotie T'Hooft;De dichter is een gedicht;Nederlands;Rapenburg 91;1993;geen;(hoek Kolfmakersteeg);EMPTY
5;Louis (Little Coon) Oliver;Maskoke Okisce;Muskogi;Nieuwe Rijn 23;1993;geen;(Creek Fabel);(hoek Burgsteeg)
6;Hans Lodeizen;Wij zullen het leven...;Nederlands;Haarlemmerstraat 78;1993;geen;(hoek Clarensteeg);EMPTY
7;Paul Verlaine;Chanson d'automne;Frans;Pieterskerkhof 4;1993;Het gedicht is van de muur verwijderd in 2019.;(Herfstlied);EMPTY
8;Jan Hanlo;De mus;Nederlands;Nieuwe Rijn 107;1993;geen;EMPTY;EMPTY
9;Eugenio Montale;Non chiederci;Italiaans;Oude Rijn 138;1993;geen;(Nee, vraag ons niet...);(hoek Pelikaanstraat)
10;J.C. Bloem;Verlaine;Nederlands;Langebrug 107;1993;Hier aangebracht omdat Bloem op dit adres woonachtig was tussen 1900 en 1905, de titel verwijst naar de dichter Verlaine, oorspr. beschadigd door overgroei klimop, later verwijderd.;(Gekroonde Liefdespoort);EMPTY
11;Rainer Maria Rilke;Das ist Sehnsucht: Wohnen im Gewoge;Duits;Herensteeg 39;1993;De originele schildering verdween in 1999 bij een restauratie van de gevel, maar werd opnieuw aangebracht.;(Verlangen is: wonen in deining);EMPTY
12;Jorge Eduardo Eielson;Misterio;Spaans;Noordeinde 6;1993;geen;(Mysterie);(hoek Weddesteeg)
13;I.K. Bonset;Lobelia I;Nederlands;Doezastraat 5;1993;geen;(pseudoniem voor Theo van Doesburg);EMPTY
14;Ingeborg Bachmann;Wahrlich;Duits;Nieuwe Rijn 94;1993;Bachmann droeg het gedicht Wahrlich op aan Anna Achmatova.;(Waarlijk);"(Derde woord in eerste regel (""ein"") is fout gespeld.)"
